# warp-vs-block sweep  Sun 21 Jun 2026 09:47:11 PM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 420 MHz, 31

################ NPROB=1  reps=3000 ################
# warp-per-problem vs one-block-per-problem | NPROB=1 reps=3000 | ns/problem (lower=better)
dot   N=12  | BLOCK  tb32=20.69  tb64=20.58  tb128=20.46  tb256=20.46  | WARP  w1=20.46  w2=20.45  w4=20.63  w8=20.47  w16=20.80  w32=19.89  || block tb128=20.46  warp w32=19.89  -> WARP (1.03x)
dot   N=16  | BLOCK  tb32=20.42  tb64=20.44  tb128=20.41  tb256=20.40  | WARP  w1=20.52  w2=20.36  w4=20.42  w8=20.43  w16=20.73  w32=19.80  || block tb256=20.40  warp w32=19.80  -> WARP (1.03x)
dot   N=24  | BLOCK  tb32=20.45  tb64=20.57  tb128=20.44  tb256=20.49  | WARP  w1=20.42  w2=20.62  w4=20.62  w8=20.33  w16=20.73  w32=19.77  || block tb128=20.44  warp w32=19.77  -> WARP (1.03x)
dot   N=32  | BLOCK  tb32=20.41  tb64=20.42  tb128=20.39  tb256=20.39  | WARP  w1=20.96  w2=20.91  w4=20.90  w8=20.76  w16=21.16  w32=19.91  || block tb256=20.39  warp w32=19.91  -> WARP (1.02x)

gemv  N=4   | BLOCK  tb32=20.87  tb64=20.72  tb128=20.67  tb256=20.72  | WARP  w1=20.52  w2=20.68  w4=20.59  w8=20.63  w16=20.82  w32=19.97  || block tb128=20.67  warp w32=19.97  -> WARP (1.04x)
gemv  N=6   | BLOCK  tb32=20.72  tb64=21.71  tb128=20.72  tb256=20.70  | WARP  w1=20.64  w2=25.06  w4=27.19  w8=27.12  w16=27.18  w32=27.11  || block tb256=20.70  warp w1=20.64  -> WARP (1.00x)
gemv  N=8   | BLOCK  tb32=27.11  tb64=27.18  tb128=27.11  tb256=27.17  | WARP  w1=27.18  w2=27.13  w4=27.14  w8=27.27  w16=27.17  w32=27.23  || block tb128=27.11  warp w2=27.13  -> BLOCK (1.00x)
gemv  N=12  | BLOCK  tb32=27.21  tb64=27.18  tb128=27.23  tb256=27.24  | WARP  w1=27.35  w2=27.34  w4=27.26  w8=27.33  w16=27.33  w32=27.36  || block tb64=27.18  warp w4=27.26  -> BLOCK (1.00x)
gemv  N=16  | BLOCK  tb32=27.38  tb64=27.32  tb128=27.32  tb256=27.23  | WARP  w1=27.29  w2=27.26  w4=27.22  w8=27.25  w16=27.26  w32=27.28  || block tb256=27.23  warp w4=27.22  -> WARP (1.00x)
gemv  N=24  | BLOCK  tb32=28.90  tb64=28.92  tb128=28.89  tb256=28.88  | WARP  w1=31.59  w2=31.59  w4=32.19  w8=32.47  w16=31.45  w32=32.36  || block tb256=28.88  warp w16=31.45  -> BLOCK (1.09x)
gemv  N=32  | BLOCK  tb32=35.79  tb64=35.79  tb128=35.72  tb256=35.77  | WARP  w1=36.02  w2=36.28  w4=36.39  w8=36.39  w16=35.96  w32=38.36  || block tb128=35.72  warp w16=35.96  -> BLOCK (1.01x)

gemm  N=4   | BLOCK  tb32=27.18  tb64=27.13  tb128=27.14  tb256=27.09  | WARP  w1=27.14  w2=27.14  w4=27.18  w8=27.10  w16=27.16  w32=27.10  || block tb256=27.09  warp w32=27.10  -> BLOCK (1.00x)
gemm  N=6   | BLOCK  tb32=27.29  tb64=27.18  tb128=27.14  tb256=27.12  | WARP  w1=27.18  w2=27.18  w4=27.38  w8=27.39  w16=27.34  w32=27.37  || block tb256=27.12  warp w2=27.18  -> BLOCK (1.00x)
gemm  N=8   | BLOCK  tb32=27.33  tb64=27.13  tb128=27.18  tb256=27.12  | WARP  w1=27.33  w2=27.35  w4=27.36  w8=27.36  w16=28.08  w32=27.23  || block tb256=27.12  warp w32=27.23  -> BLOCK (1.00x)
gemm  N=12  | BLOCK  tb32=50.97  tb64=34.90  tb128=27.75  tb256=27.32  | WARP  w1=51.24  w2=51.11  w4=52.38  w8=52.93  w16=52.96  w32=63.84  || block tb256=27.32  warp w2=51.11  -> BLOCK (1.87x)
gemm  N=16  | BLOCK  tb32=76.86  tb64=46.85  tb128=32.31  tb256=27.31  | WARP  w1=76.32  w2=75.43  w4=75.57  w8=78.06  w16=77.57  w32=110.74  || block tb256=27.31  warp w2=75.43  -> BLOCK (2.76x)
gemm  N=24  | BLOCK  tb32=197.74  tb64=108.89  tb128=70.17  tb256=51.88  | WARP  w1=200.77  w2=199.97  w4=205.34  w8=206.51  w16=208.12  w32=335.71  || block tb256=51.88  warp w2=199.97  -> BLOCK (3.85x)
gemm  N=32  | BLOCK  tb32=416.98  tb64=217.49  tb128=122.34  tb256=74.84  | WARP  w1=415.56  w2=415.44  w4=418.46  w8=423.79  w16=436.06  w32=793.06  || block tb256=74.84  warp w2=415.44  -> BLOCK (5.55x)

chol  N=4   | BLOCK  tb32=27.29  tb64=27.30  tb128=27.38  tb256=27.38  | WARP  w1=27.35  w2=27.41  w4=27.35  w8=27.33  w16=27.25  w32=29.59  || block tb32=27.29  warp w16=27.25  -> WARP (1.00x)
chol  N=6   | BLOCK  tb32=44.28  tb64=44.39  tb128=44.37  tb256=44.66  | WARP  w1=38.63  w2=39.54  w4=41.06  w8=40.68  w16=39.87  w32=46.99  || block tb32=44.28  warp w1=38.63  -> WARP (1.15x)
chol  N=8   | BLOCK  tb32=58.21  tb64=60.28  tb128=60.26  tb256=60.58  | WARP  w1=63.48  w2=63.71  w4=63.25  w8=64.74  w16=67.24  w32=83.62  || block tb32=58.21  warp w4=63.25  -> BLOCK (1.09x)
chol  N=12  | BLOCK  tb32=98.89  tb64=101.94  tb128=102.25  tb256=102.46  | WARP  w1=103.10  w2=102.45  w4=103.26  w8=105.89  w16=113.38  w32=137.90  || block tb32=98.89  warp w2=102.45  -> BLOCK (1.04x)
chol  N=16  | BLOCK  tb32=146.04  tb64=149.00  tb128=150.08  tb256=149.55  | WARP  w1=151.20  w2=157.87  w4=155.46  w8=166.06  w16=178.57  w32=222.34  || block tb32=146.04  warp w1=151.20  -> BLOCK (1.04x)
chol  N=24  | BLOCK  tb32=232.31  tb64=232.16  tb128=223.05  tb256=224.24  | WARP  w1=228.80  w2=231.68  w4=232.34  w8=241.31  w16=271.49  w32=391.55  || block tb128=223.05  warp w1=228.80  -> BLOCK (1.03x)
chol  N=32  | BLOCK  tb32=319.56  tb64=327.33  tb128=327.20  tb256=327.76  | WARP  w1=333.67  w2=336.20  w4=337.47  w8=360.06  w16=420.92  w32=662.18  || block tb32=319.56  warp w1=333.67  -> BLOCK (1.04x)

trsv  N=4   | BLOCK  tb32=27.78  tb64=27.48  tb128=27.56  tb256=27.41  | WARP  w1=27.41  w2=27.81  w4=27.47  w8=27.46  w16=27.42  w32=29.99  || block tb256=27.41  warp w1=27.41  -> BLOCK (1.00x)
trsv  N=6   | BLOCK  tb32=38.90  tb64=38.88  tb128=38.79  tb256=39.05  | WARP  w1=37.51  w2=35.25  w4=35.22  w8=35.07  w16=35.04  w32=39.06  || block tb128=38.79  warp w16=35.04  -> WARP (1.11x)
trsv  N=8   | BLOCK  tb32=47.86  tb64=47.92  tb128=48.11  tb256=48.41  | WARP  w1=45.70  w2=45.94  w4=45.58  w8=46.34  w16=46.93  w32=53.58  || block tb32=47.86  warp w4=45.58  -> WARP (1.05x)
trsv  N=12  | BLOCK  tb32=75.72  tb64=75.74  tb128=75.83  tb256=76.63  | WARP  w1=69.80  w2=70.04  w4=71.27  w8=71.58  w16=70.42  w32=75.97  || block tb32=75.72  warp w1=69.80  -> WARP (1.08x)
trsv  N=16  | BLOCK  tb32=102.35  tb64=102.39  tb128=102.44  tb256=103.49  | WARP  w1=93.92  w2=94.55  w4=94.55  w8=95.41  w16=94.60  w32=100.73  || block tb32=102.35  warp w1=93.92  -> WARP (1.09x)
trsv  N=24  | BLOCK  tb32=156.51  tb64=156.54  tb128=156.60  tb256=158.10  | WARP  w1=144.58  w2=147.48  w4=147.70  w8=146.46  w16=146.17  w32=152.49  || block tb32=156.51  warp w1=144.58  -> WARP (1.08x)
trsv  N=32  | BLOCK  tb32=210.59  tb64=210.59  tb128=210.64  tb256=212.57  | WARP  w1=194.13  w2=195.98  w4=195.78  w8=197.57  w16=196.33  w32=201.90  || block tb32=210.59  warp w1=194.13  -> WARP (1.08x)

posv  N=4   | BLOCK  tb32=44.14  tb64=44.33  tb128=44.30  tb256=44.75  | WARP  w1=41.28  w2=41.10  w4=41.54  w8=42.24  w16=58.92  w32=64.86  || block tb32=44.14  warp w2=41.10  -> WARP (1.07x)
posv  N=6   | BLOCK  tb32=76.16  tb64=77.06  tb128=77.06  tb256=77.83  | WARP  w1=65.86  w2=67.66  w4=75.53  w8=81.36  w16=83.66  w32=93.58  || block tb32=76.16  warp w1=65.86  -> WARP (1.16x)
posv  N=8   | BLOCK  tb32=100.62  tb64=101.50  tb128=101.62  tb256=103.09  | WARP  w1=98.49  w2=102.59  w4=97.25  w8=102.01  w16=119.81  w32=146.17  || block tb32=100.62  warp w4=97.25  -> WARP (1.03x)
posv  N=12  | BLOCK  tb32=166.68  tb64=168.17  tb128=168.53  tb256=171.20  | WARP  w1=157.17  w2=157.30  w4=167.70  w8=178.52  w16=193.28  w32=223.55  || block tb32=166.68  warp w1=157.17  -> WARP (1.06x)
posv  N=16  | BLOCK  tb32=233.26  tb64=233.68  tb128=235.15  tb256=239.71  | WARP  w1=219.78  w2=222.66  w4=223.95  w8=230.14  w16=246.21  w32=309.60  || block tb32=233.26  warp w1=219.78  -> WARP (1.06x)
posv  N=24  | BLOCK  tb32=353.08  tb64=353.09  tb128=355.73  tb256=360.41  | WARP  w1=330.15  w2=334.85  w4=335.52  w8=350.18  w16=389.90  w32=545.64  || block tb32=353.08  warp w1=330.15  -> WARP (1.07x)
posv  N=32  | BLOCK  tb32=507.43  tb64=510.22  tb128=510.22  tb256=519.13  | WARP  w1=477.69  w2=478.40  w4=477.08  w8=511.49  w16=596.39  w32=957.58  || block tb32=507.43  warp w4=477.08  -> WARP (1.06x)


################ NPROB=1024  reps=700 ################
# warp-per-problem vs one-block-per-problem | NPROB=1024 reps=700 | ns/problem (lower=better)
dot   N=4   | BLOCK  tb32=1.29  tb64=1.28  tb128=1.31  tb256=1.31  | WARP  w1=1.30  w2=1.30  w4=1.32  w8=1.32  w16=1.31  w32=1.27  || block tb64=1.28  warp w32=1.27  -> WARP (1.01x)
dot   N=6   | BLOCK  tb32=1.32  tb64=1.33  tb128=1.32  tb256=1.34  | WARP  w1=1.30  w2=1.30  w4=1.31  w8=1.31  w16=1.31  w32=1.27  || block tb32=1.32  warp w32=1.27  -> WARP (1.04x)
dot   N=8   | BLOCK  tb32=1.35  tb64=1.36  tb128=1.36  tb256=1.41  | WARP  w1=1.29  w2=1.30  w4=1.32  w8=1.31  w16=1.32  w32=1.27  || block tb32=1.35  warp w32=1.27  -> WARP (1.06x)
dot   N=12  | BLOCK  tb32=1.38  tb64=1.39  tb128=1.39  tb256=1.48  | WARP  w1=1.29  w2=1.26  w4=1.33  w8=1.31  w16=1.31  w32=1.28  || block tb32=1.38  warp w2=1.26  -> WARP (1.09x)
dot   N=16  | BLOCK  tb32=1.41  tb64=1.44  tb128=1.43  tb256=1.56  | WARP  w1=1.29  w2=1.30  w4=1.32  w8=1.31  w16=1.31  w32=1.23  || block tb32=1.41  warp w32=1.23  -> WARP (1.15x)
dot   N=24  | BLOCK  tb32=1.49  tb64=1.53  tb128=1.51  tb256=1.73  | WARP  w1=1.29  w2=1.30  w4=1.31  w8=1.30  w16=1.30  w32=1.28  || block tb32=1.49  warp w32=1.28  -> WARP (1.16x)
dot   N=32  | BLOCK  tb32=1.54  tb64=1.70  tb128=1.71  tb256=1.83  | WARP  w1=1.33  w2=1.33  w4=1.70  w8=1.70  w16=1.70  w32=1.72  || block tb32=1.54  warp w1=1.33  -> WARP (1.16x)

