# mega sweep  Tue 23 Jun 2026 09:19:43 AM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 180 MHz, 28

################ NPROB=1  reps=3000  dtype=f32 (3-way) ################
# mega sweep | NPROB=1 reps=3000 dtype=f32 | ns/problem (lower=better) | optin_smem=99KB
# contenders: BLOCK(SIMT, TB swept) | WARP(WPB swept) | NV(cuBLASDx/cuSOLVERDx, forced; f32<=128, f64<=64)
trsv  N=32  | BLOCK  tb32=12685.38  tb64=12686.18  tb128=12689.09  tb256=12809.94  | WARP  w1=11628.08  || block tb32=12685.38  warp w1=11628.08  nv=1817.64  -> NVIDIA (6.40x)
trsv  N=48  | BLOCK  tb32=20589.69  tb64=19313.47  tb128=19319.52  tb256=19498.64  | WARP  w1=20887.48  || block tb64=19313.47  warp w1=20887.48  nv=6918.13  -> NVIDIA (2.79x)
trsv  N=64  | BLOCK  tb32=29052.19  tb64=25720.20  tb128=25722.51  tb256=25967.38  | WARP  w1=29495.09  || block tb64=25720.20  warp w1=29495.09  nv=8924.51  -> NVIDIA (2.88x)
trsv  N=96  | BLOCK  tb32=49662.06  tb64=42045.27  tb128=38736.49  tb256=39098.34  | WARP  w1=50515.54  || block tb128=38736.49  warp w1=50515.54  nv=13147.68  -> NVIDIA (2.95x)
trsv  N=128 | BLOCK  tb32=74596.91  tb64=59449.16  tb128=51876.99  tb256=52356.51  | WARP  w1=75993.49  || block tb128=51876.99  warp w1=75993.49  nv=17803.29  -> NVIDIA (2.91x)

posv  N=4   | BLOCK  tb32=2692.68  tb64=2699.81  tb128=2697.25  tb256=2725.44  | WARP  w1=2503.91  || block tb32=2692.68  warp w1=2503.91  nv=1750.13  -> NVIDIA (1.43x)
posv  N=6   | BLOCK  tb32=4646.02  tb64=4678.96  tb128=4679.76  tb256=4730.86  | WARP  w1=3964.10  || block tb32=4646.02  warp w1=3964.10  nv=1951.92  -> NVIDIA (2.03x)
posv  N=8   | BLOCK  tb32=6209.60  tb64=6265.17  tb128=6269.86  tb256=6338.32  | WARP  w1=6051.53  || block tb32=6209.60  warp w1=6051.53  nv=2292.05  -> NVIDIA (2.64x)
posv  N=12  | BLOCK  tb32=10511.00  tb64=10614.84  tb128=10627.03  tb256=10799.80  | WARP  w1=9795.26  || block tb32=10511.00  warp w1=9795.26  nv=2742.94  -> NVIDIA (3.57x)
posv  N=16  | BLOCK  tb32=14590.53  tb64=14698.00  tb128=14697.86  tb256=14980.34  | WARP  w1=13716.03  || block tb32=14590.53  warp w1=13716.03  nv=3133.14  -> NVIDIA (4.38x)
posv  N=24  | BLOCK  tb32=22227.65  tb64=22225.86  tb128=22404.26  tb256=22790.65  | WARP  w1=20762.82  || block tb64=22225.86  warp w1=20762.82  nv=4426.40  -> NVIDIA (4.69x)
posv  N=32  | BLOCK  tb32=31841.15  tb64=31939.54  tb128=31941.06  tb256=32613.33  | WARP  w1=29608.05  || block tb32=31841.15  warp w1=29608.05  nv=5116.31  -> NVIDIA (5.79x)
posv  N=48  | BLOCK  tb32=55644.66  tb64=50944.84  tb128=51106.19  tb256=51729.02  | WARP  w1=56576.71  || block tb64=50944.84  warp w1=56576.71  nv=19867.65  -> NVIDIA (2.56x)
posv  N=64  | BLOCK  tb32=90656.02  tb64=78067.33  tb128=78060.73  tb256=79313.42  | WARP  w1=92117.42  || block tb128=78060.73  warp w1=92117.42  nv=26791.99  -> NVIDIA (2.91x)
posv  N=96  | BLOCK  tb32=176188.59  tb64=142454.42  tb128=130256.83  tb256=131172.43  | WARP  w1=177937.71  || block tb128=130256.83  warp w1=177937.71  nv=42113.50  -> NVIDIA (3.09x)
posv  N=128 | BLOCK  tb32=325336.91  tb64=248266.20  tb128=215094.80  tb256=217400.31  | WARP  w1=329056.65  || block tb128=215094.80  warp w1=329056.65  nv=58623.49  -> NVIDIA (3.67x)


################ NPROB=1  reps=3000  dtype=f64 (warp/block) ################
# mega sweep | NPROB=1 reps=3000 dtype=f64 | ns/problem (lower=better) | optin_smem=99KB
# contenders: BLOCK(SIMT, TB swept) | WARP(WPB swept) | NV(cuBLASDx/cuSOLVERDx, forced; f32<=128, f64<=64)
dot   N=4   | BLOCK  tb32=1384.22  tb64=1384.41  tb128=1384.54  tb256=1381.83  | WARP  w1=1318.65  || block tb256=1381.83  warp w1=1318.65  nv=1342.55  -> WARP (1.02x)
dot   N=6   | BLOCK  tb32=1354.35  tb64=1349.71  tb128=1352.64  tb256=1349.89  | WARP  w1=1316.22  || block tb64=1349.71  warp w1=1316.22  nv=1338.88  -> WARP (1.02x)
dot   N=8   | BLOCK  tb32=1343.28  tb64=1341.31  tb128=1346.46  tb256=1341.52  | WARP  w1=1321.79  || block tb64=1341.31  warp w1=1321.79  nv=1338.83  -> WARP (1.01x)
dot   N=12  | BLOCK  tb32=1330.54  tb64=1329.84  tb128=1335.59  tb256=1329.16  | WARP  w1=1314.81  || block tb256=1329.16  warp w1=1314.81  nv=1341.88  -> WARP (1.02x)
dot   N=16  | BLOCK  tb32=1327.58  tb64=1326.75  tb128=1323.29  tb256=1319.66  | WARP  w1=1315.52  || block tb256=1319.66  warp w1=1315.52  nv=1344.15  -> WARP (1.02x)
dot   N=24  | BLOCK  tb32=1322.84  tb64=1322.40  tb128=1322.18  tb256=1320.15  | WARP  w1=1317.11  || block tb256=1320.15  warp w1=1317.11  nv=1341.71  -> WARP (1.02x)
