# mega_sweep  Sun Jul 19 00:46:22 2026  (bench/tune.py)
NVIDIA GeForce RTX 5090, 3090 MHz, 292 MHz, 29

################ NPROB=64  reps=1000  dtype=f32 ################
# mega sweep | NPROB=64 reps=1000 dtype=f32 | ns/problem (lower=better) | optin_smem=99KB
# contenders: BLOCK(SIMT, TB swept) | WARP(WPB swept) | THREAD(SIMT, TPB swept) | NV(cuBLASDx/cuSOLVERDx, forced; f32<=128, f64<=64)
# THREAD stages operands global->registers->global in the per-problem-contiguous layout (uncoalesced; the layout tax is IN the timing).
gemm  N=8   | BLOCK  tb32=27.2914  tb64=27.3038  tb128=26.9130  tb256=27.3030  | WARP  w1=27.2118  w2=27.1465  w4=27.2541  w8=27.2547  w16=27.2102  w32=27.4810  | THREAD  t32=123.8635  t64=201.6898  t128=190.3172  t256=172.8154  || block tb128=26.9130  warp w2=27.1465  thread t32=123.8635  nv=27.2652  -> BLOCK (1.01x)
gemm  N=12  | BLOCK  tb32=27.4455  tb64=27.3072  tb128=27.3769  tb256=27.3802  | WARP  w1=27.2591  w2=27.4010  w4=27.3345  w8=27.8183  w16=30.7907  w32=53.9068  | THREAD  t32=225.3040  t64=302.5245  t128=300.4488  t256=289.6953  || block tb64=27.3072  warp w1=27.2591  thread t32=225.3040  nv=27.3066  -> WARP (1.00x)
gemm  N=16  | BLOCK  tb32=30.8712  tb64=27.3880  tb128=27.4939  tb256=27.3910  | WARP  w1=27.3992  w2=27.4861  w4=27.3692  w8=28.2666  w16=34.9027  w32=FAIL  | THREAD  t32=560.1718  t64=881.0878  t128=874.5020  t256=718.7463  || block tb64=27.3880  warp w4=27.3692  thread t32=560.1718  nv=27.2691  -> NVIDIA (1.00x)
gemm  N=24  | BLOCK  tb32=70.3334  tb64=51.5605  tb128=42.4314  tb256=33.6030  | WARP  w1=71.0371  w2=72.7692  w4=73.5351  w8=78.7946  w16=96.2378  w32=186.8346  | THREAD  t32=2044.2695  t64=2955.1779  t128=2945.9988  t256=2944.7602  || block tb256=33.6030  warp w1=71.0371  thread t32=2044.2695  nv=27.2277  -> NVIDIA (1.23x)
gemm  N=32  | BLOCK  tb32=128.9025  tb64=78.5562  tb128=54.8676  tb256=42.6554  | WARP  w1=129.1101  w2=131.3430  w4=132.4705  w8=142.0948  w16=216.3865  w32=406.0069  | THREAD  t32=6260.8861  t64=6908.5047  t128=6857.0077  t256=6885.0281  || block tb256=42.6554  warp w1=129.1101  thread t32=6260.8861  nv=28.1662  -> NVIDIA (1.51x)
gemm  N=48  | BLOCK  tb32=374.2415  tb64=206.0499  tb128=132.7214  tb256=99.3706  | WARP  w1=374.6605  w2=382.7097  w4=384.3202  w8=472.9242  w16=822.1578  w32=1282.2210  | THREAD  t32=19089.3623  t64=19907.7136  t128=19909.9481  t256=19889.2680  || block tb256=99.3706  warp w1=374.6605  thread t32=19089.3623  nv=44.2265  -> NVIDIA (2.25x)
gemm  N=64  | BLOCK  tb32=816.3758  tb64=432.9531  tb128=242.6418  tb256=152.7727  | WARP  w1=817.0503  w2=821.3803  w4=913.1630  w8=1823.4277  w16=1891.9590  w32=2995.8934  | THREAD  t32=44495.0035  t64=46966.9775  t128=47040.4860  t256=47104.5823  || block tb256=152.7727  warp w1=817.0503  thread t32=44495.0035  nv=55.4012  -> NVIDIA (2.76x)
gemm  N=96  | BLOCK  tb32=2657.2797  tb64=1366.1992  tb128=724.5886  tb256=408.9974  | WARP  w1=2656.8867  w2=3038.7462  w4=6284.3978  w8=6481.6577  w16=7504.2832  w32=14746.9365  | THREAD  t32=141186.8331  t64=146877.7405  t128=146912.2664  t256=145865.8449  || block tb256=408.9974  warp w1=2656.8867  thread t32=141186.8331  -> BLOCK (6.50x)
gemm  N=128 | BLOCK  tb32=6183.5179  tb64=3165.6163  tb128=1704.4724  tb256=875.6608  | WARP  w1=6183.6047  w2=14936.2720  w4=15172.9679  w8=15800.0758  w16=23065.8524  w32=46042.5635  | THREAD  t32=FAIL  t64=FAIL  t128=FAIL  t256=FAIL  || block tb256=875.6608  warp w1=6183.6047  -> BLOCK (7.06x)

chol  N=4   | BLOCK  tb32=27.4635  tb64=27.4876  tb128=27.4503  tb256=27.3707  | WARP  w1=27.4498  w2=27.4545  w4=27.0400  w8=27.4450  w16=27.6655  w32=29.3355  | THREAD  t32=27.1952  t64=27.3594  t128=27.3590  t256=27.3466  || block tb256=27.3707  warp w4=27.0400  thread t32=27.1952  nv=27.4046  -> WARP (1.01x)
chol  N=6   | BLOCK  tb32=42.3359  tb64=44.3017  tb128=44.2828  tb256=44.5711  | WARP  w1=38.6012  w2=40.4283  w4=39.2584  w8=39.3472  w16=39.7036  w32=46.3294  | THREAD  t32=28.8843  t64=30.8215  t128=30.9429  t256=30.9282  || block tb32=42.3359  warp w1=38.6012  thread t32=28.8843  nv=27.5425  -> NVIDIA (1.05x)
chol  N=8   | BLOCK  tb32=58.4576  tb64=60.8907  tb128=60.8642  tb256=61.1954  | WARP  w1=64.1675  w2=63.4097  w4=62.8678  w8=64.8364  w16=68.1003  w32=82.6623  | THREAD  t32=138.1391  t64=159.6639  t128=159.3767  t256=159.3382  || block tb32=58.4576  warp w4=62.8678  thread t32=138.1391  nv=27.3962  -> NVIDIA (2.13x)
chol  N=12  | BLOCK  tb32=98.2871  tb64=100.5329  tb128=102.5083  tb256=102.6632  | WARP  w1=103.4073  w2=103.2367  w4=104.4424  w8=106.7254  w16=113.9863  w32=138.6881  | THREAD  t32=276.9945  t64=326.2479  t128=309.4662  t256=297.8744  || block tb32=98.2871  warp w2=103.2367  thread t32=276.9945  nv=29.0696  -> NVIDIA (3.38x)
chol  N=16  | BLOCK  tb32=144.9960  tb64=149.4201  tb128=149.3773  tb256=149.8922  | WARP  w1=151.5859  w2=152.0682  w4=152.9714  w8=157.8971  w16=172.3398  w32=212.8974  | THREAD  t32=605.3832  t64=888.2832  t128=944.6587  t256=907.1590  || block tb32=144.9960  warp w1=151.5859  thread t32=605.3832  nv=31.4464  -> NVIDIA (4.61x)
chol  N=24  | BLOCK  tb32=220.2101  tb64=226.9489  tb128=226.9004  tb256=227.7052  | WARP  w1=229.8377  w2=232.3856  w4=231.4141  w8=242.4229  w16=272.0820  w32=392.7996  | THREAD  t32=1944.0067  t64=2107.3747  t128=2107.9368  t256=2093.0673  || block tb32=220.2101  warp w1=229.8377  thread t32=1944.0067  nv=45.7464  -> NVIDIA (4.81x)
chol  N=32  | BLOCK  tb32=319.8827  tb64=330.0671  tb128=329.9482  tb256=330.5067  | WARP  w1=336.4144  w2=335.9402  w4=338.2854  w8=362.1503  w16=422.4909  w32=664.3058  | THREAD  t32=4151.0118  t64=4882.1662  t128=4848.1643  t256=4665.7683  || block tb32=319.8827  warp w2=335.9402  thread t32=4151.0118  nv=53.1309  -> NVIDIA (6.02x)
chol  N=48  | BLOCK  tb32=598.4648  tb64=554.5031  tb128=546.8402  tb256=548.7399  | WARP  w1=621.2408  w2=624.0975  w4=635.0094  w8=680.6673  w16=978.4860  w32=1705.4718  | THREAD  t32=12017.5740  t64=32618.1655  t128=33030.5438  t256=25422.1915  || block tb128=546.8402  warp w1=621.2408  thread t32=12017.5740  nv=79.5133  -> NVIDIA (6.88x)
chol  N=64  | BLOCK  tb32=986.4146  tb64=836.3305  tb128=833.0174  tb256=838.1206  | WARP  w1=1027.2142  w2=1028.7519  w4=1036.1505  w8=1136.5474  w16=1594.1464  w32=3389.7876  | THREAD  t32=63741.6912  t64=92364.9359  t128=92330.6370  t256=88972.5960  || block tb128=833.0174  warp w1=1027.2142  thread t32=63741.6912  nv=108.9561  -> NVIDIA (7.65x)
chol  N=96  | BLOCK  tb32=2121.9423  tb64=1680.0809  tb128=1494.2206  tb256=1500.2309  | WARP  w1=2174.3015  w2=2174.6851  w4=2695.4524  w8=4473.3605  w16=7856.4542  w32=9046.3889  | THREAD  t32=128849.5828  t64=138154.8633  t128=138072.4548  t256=135663.0951  || block tb128=1494.2206  warp w1=2174.3015  thread t32=128849.5828  nv=194.9440  -> NVIDIA (7.66x)
chol  N=128 | BLOCK  tb32=3902.0301  tb64=2884.7920  tb128=2398.3107  tb256=2406.3066  | WARP  w1=4051.2687  w2=4053.9411  w4=5069.4133  w8=13321.1190  w16=17057.1812  w32=18369.8725  | THREAD  t32=282635.5981  t64=297623.7125  t128=297713.2199  t256=295517.6735  || block tb128=2398.3107  warp w1=4051.2687  thread t32=282635.5981  nv=289.1684  -> NVIDIA (8.29x)

trsv  N=4   | BLOCK  tb32=27.3583  tb64=27.2839  tb128=27.3047  tb256=27.3011  | WARP  w1=27.4009  w2=27.3234  w4=27.3500  w8=27.2395  w16=27.3332  w32=29.6209  | THREAD  t32=27.2275  t64=27.3356  t128=27.2293  t256=27.1899  || block tb64=27.2839  warp w8=27.2395  thread t256=27.1899  nv=27.3112  -> THREAD (1.00x)
trsv  N=6   | BLOCK  tb32=37.6925  tb64=37.6788  tb128=37.6525  tb256=37.9340  | WARP  w1=36.5083  w2=35.3297  w4=34.7500  w8=35.2692  w16=35.8930  w32=39.5269  | THREAD  t32=27.2963  t64=27.2605  t128=27.3254  t256=27.3810  || block tb128=37.6525  warp w4=34.7500  thread t64=27.2605  nv=27.3044  -> THREAD (1.00x)
trsv  N=8   | BLOCK  tb32=47.4211  tb64=47.4606  tb128=47.6403  tb256=47.9589  | WARP  w1=45.3206  w2=45.5642  w4=45.8212  w8=46.3308  w16=47.1904  w32=53.6280  | THREAD  t32=32.0430  t64=38.4738  t128=38.4520  t256=38.4627  || block tb32=47.4211  warp w1=45.3206  thread t32=32.0430  nv=27.3201  -> NVIDIA (1.17x)
trsv  N=12  | BLOCK  tb32=76.6309  tb64=76.6395  tb128=76.6845  tb256=77.4484  | WARP  w1=70.5118  w2=69.9082  w4=69.6435  w8=70.7044  w16=70.6514  w32=75.5599  | THREAD  t32=41.7974  t64=51.1875  t128=51.1528  t256=51.1437  || block tb32=76.6309  warp w4=69.6435  thread t32=41.7974  nv=27.3148  -> NVIDIA (1.53x)
trsv  N=16  | BLOCK  tb32=103.3361  tb64=103.4363  tb128=103.5239  tb256=104.5385  | WARP  w1=94.7700  w2=94.7545  w4=95.4449  w8=95.4966  w16=95.0530  w32=100.5619  | THREAD  t32=65.3662  t64=91.6902  t128=92.1534  t256=92.1061  || block tb32=103.3361  warp w2=94.7545  thread t32=65.3662  nv=27.1907  -> NVIDIA (2.40x)
trsv  N=24  | BLOCK  tb32=157.4528  tb64=157.4670  tb128=157.5575  tb256=158.9780  | WARP  w1=145.4028  w2=146.9930  w4=147.3803  w8=148.5921  w16=147.9592  w32=152.8881  | THREAD  t32=836.7337  t64=893.5862  t128=894.3938  t256=892.0158  || block tb32=157.4528  warp w1=145.4028  thread t32=836.7337  nv=30.3225  -> NVIDIA (4.80x)
trsv  N=32  | BLOCK  tb32=212.1338  tb64=212.1816  tb128=212.2529  tb256=214.2268  | WARP  w1=195.6904  w2=196.3758  w4=196.6571  w8=195.3655  w16=194.5209  w32=201.3254  | THREAD  t32=1519.2940  t64=1580.6491  t128=1577.6087  t256=1575.2109  || block tb32=212.1338  warp w16=194.5209  thread t32=1519.2940  nv=30.4598  -> NVIDIA (6.39x)
trsv  N=48  | BLOCK  tb32=339.9647  tb64=318.6988  tb128=318.7880  tb256=321.5966  | WARP  w1=344.6462  w2=348.1211  w4=345.9378  w8=353.2371  w16=349.2663  w32=365.3896  | THREAD  t32=3299.9145  t64=3390.8114  t128=3390.5758  t256=3387.7976  || block tb64=318.6988  warp w1=344.6462  thread t32=3299.9145  nv=109.8868  -> NVIDIA (2.90x)
trsv  N=64  | BLOCK  tb32=481.7900  tb64=424.2404  tb128=424.2728  tb256=428.1115  | WARP  w1=488.6707  w2=489.3548  w4=489.0777  w8=493.9452  w16=490.1030  w32=511.5389  | THREAD  t32=5805.4444  t64=5977.4410  t128=5977.9059  t256=5970.1161  || block tb64=424.2404  warp w1=488.6707  thread t32=5805.4444  nv=142.2298  -> NVIDIA (2.98x)
trsv  N=96  | BLOCK  tb32=826.8159  tb64=698.0713  tb128=640.0374  tb256=645.6713  | WARP  w1=840.0535  w2=838.8755  w4=840.1492  w8=847.0766  w16=836.5189  w32=867.2998  | THREAD  t32=12912.8728  t64=13269.2342  t128=13275.6457  t256=13265.1918  || block tb128=640.0374  warp w16=836.5189  thread t32=12912.8728  nv=209.2511  -> NVIDIA (3.06x)
trsv  N=128 | BLOCK  tb32=1241.0393  tb64=983.7268  tb128=855.2260  tb256=862.8446  | WARP  w1=1262.7056  w2=1264.2424  w4=1263.4774  w8=1272.1685  w16=1254.7352  w32=1293.0438  | THREAD  t32=22800.3072  t64=23456.1777  t128=23447.9549  t256=23406.3887  || block tb128=855.2260  warp w16=1254.7352  thread t32=22800.3072  nv=283.0542  -> NVIDIA (3.02x)

posv  N=4   | BLOCK  tb32=43.4842  tb64=43.7324  tb128=43.6806  tb256=44.0892  | WARP  w1=40.6699  w2=40.7712  w4=41.0997  w8=41.9892  w16=55.6702  w32=63.9543  | THREAD  t32=27.4604  t64=28.2355  t128=28.1183  t256=28.1175  || block tb32=43.4842  warp w1=40.6699  thread t32=27.4604  nv=28.5339  -> THREAD (1.04x)
posv  N=6   | BLOCK  tb32=75.4002  tb64=76.2401  tb128=76.2436  tb256=77.0151  | WARP  w1=64.9814  w2=68.0544  w4=74.7059  w8=81.6711  w16=85.2627  w32=95.5498  | THREAD  t32=36.9183  t64=37.9228  t128=37.8336  t256=37.8338  || block tb32=75.4002  warp w1=64.9814  thread t32=36.9183  nv=31.5577  -> NVIDIA (1.17x)
posv  N=8   | BLOCK  tb32=99.5017  tb64=100.8352  tb128=100.9322  tb256=102.0317  | WARP  w1=97.4936  w2=101.0576  w4=101.8527  w8=102.1295  w16=119.5023  w32=145.9750  | THREAD  t32=119.7416  t64=130.3396  t128=129.9804  t256=129.9904  || block tb32=99.5017  warp w1=97.4936  thread t32=119.7416  nv=37.2543  -> NVIDIA (2.62x)
posv  N=12  | BLOCK  tb32=167.1929  tb64=167.2440  tb128=168.9561  tb256=171.6839  | WARP  w1=155.9935  w2=157.4520  w4=166.9438  w8=178.6896  w16=192.9713  w32=223.9121  | THREAD  t32=258.4767  t64=287.4896  t128=282.2091  t256=268.7329  || block tb32=167.1929  warp w1=155.9935  thread t32=258.4767  nv=43.9990  -> NVIDIA (3.55x)
